first,last,category,amt,gender,state,merchant,hour,day_of_week,is_fraud
Alice,Moore,gas_transport,335.29461111033703,F,MA,Starbucks,0,5,0
George,Doe,gas_transport,381.2905591854671,F,WA,Walmart,1,3,0
Edward,Anderson,gas_transport,1644.1944434115408,M,CA,Walmart,12,3,0
Edward,Johnson,shopping_net,1677.6870200585988,M,MA,Apple,13,0,0
Charlie,Brown,entertainment,1183.6956082792487,F,CA,Nike,18,5,0
George,Brown,health_fitness,822.8709528898354,M,AZ,Starbucks,8,3,0
Bob,Wilson,grocery_pos,805.4005661255768,M,TX,SuperStore,7,1,0
Fiona,Wilson,grocery_pos,415.78029276785173,F,AZ,Starbucks,5,0,0
Charlie,Wilson,health_fitness,609.7327637767044,M,MA,Apple,18,0,0
Jane,Miller,entertainment,520.2131554257088,F,WA,Amazon,2,3,0
Charlie,Doe,food_out,592.0309576870931,M,NJ,SuperStore,10,6,1
Fiona,Johnson,entertainment,1578.2068999607143,M,NJ,Apple,0,1,0
George,Doe,food_out,1376.1364742211779,F,MA,Walmart,1,6,0
Alice,Thomas,grocery_pos,1090.6038491969848,F,CA,Apple,16,4,0
Edward,Miller,grocery_pos,1100.2171636719374,M,IL,HighEndClub,9,6,0
Alice,Smith,food_out,1093.1097155505201,M,AZ,HighEndClub,10,0,0
George,Doe,grocery_pos,264.6991746641797,M,WA,Amazon,2,1,0
Charlie,Johnson,shopping_net,1040.895954642329,M,FL,Nike,10,4,0
Diana,Smith,shopping_net,320.5315735697945,F,NJ,Nike,7,6,0
Charlie,Johnson,shopping_net,658.0574784084727,M,TX,HighEndClub,5,5,0
Hannah,Miller,health_fitness,1322.582343275148,M,NJ,Walmart,8,1,0
Jane,Moore,grocery_pos,306.39499204794134,F,WA,Walmart,10,4,0
Jane,Doe,entertainment,484.76896992978504,F,NY,HighEndClub,7,1,0
Fiona,Smith,shopping_net,1424.0531132088681,M,NV,Walmart,19,0,0
Jane,Taylor,food_out,683.154666654465,M,WA,HighEndClub,19,0,0
Edward,Thomas,entertainment,1632.8347170475752,M,NJ,Walmart,17,1,0
Fiona,Miller,gas_transport,1968.62735187544,F,AZ,SuperStore,17,3,0
Fiona,Johnson,health_fitness,393.76776302607897,M,TX,Nike,14,0,0
Diana,Taylor,entertainment,243.333225494188,M,MA,Walmart,9,6,0
Jane,Wilson,shopping_net,1340.6139428238407,M,NJ,HighEndClub,13,6,0
George,Smith,entertainment,1738.2553777949051,M,NJ,Apple,15,5,0
Hannah,Smith,gas_transport,1115.476221547672,F,FL,HighEndClub,12,6,0
Alice,Moore,gas_transport,1678.1699132782653,F,NY,Walmart,13,0,0
John,Doe,grocery_pos,1491.4827984236329,F,NJ,SuperStore,3,2,0
Hannah,Moore,entertainment,700.7085175997591,M,IL,HighEndClub,2,5,0
Jane,Wilson,gas_transport,1455.1306673770234,M,WA,Nike,7,1,0
Hannah,Taylor,health_fitness,764.5040014895746,F,NJ,SuperStore,20,2,0
Bob,Miller,shopping_net,127.7315083186557,M,AZ,Starbucks,21,2,0
George,Smith,grocery_pos,1676.782443031242,M,IL,Nike,12,3,0
John,Smith,shopping_net,789.739821280692,M,NV,SuperStore,12,2,1
Fiona,Doe,health_fitness,1566.5682548753025,M,IL,Starbucks,20,3,0
Edward,Anderson,entertainment,1119.7477774243243,F,NJ,Walmart,21,3,0
Charlie,Johnson,shopping_net,944.8638033196872,F,CA,Nike,8,6,0
John,Moore,food_out,102.79347748495397,F,AZ,Starbucks,13,4,0
Fiona,Doe,entertainment,1119.4629382511648,M,TX,Amazon,9,1,0
Charlie,Smith,health_fitness,1180.2569435725177,F,NV,GasStation,23,2,0
Edward,Anderson,health_fitness,1924.2673129468906,F,WA,GasStation,6,2,0
Bob,Smith,health_fitness,781.7327438831804,M,TX,Starbucks,12,2,0
Diana,Brown,health_fitness,133.6342277695983,M,MA,SuperStore,19,5,0
Hannah,Thomas,food_out,440.12061315208,M,NV,Apple,4,2,0
Bob,Moore,grocery_pos,841.1065773308212,M,IL,Walmart,11,3,0
Diana,Moore,gas_transport,1715.6419043085973,F,CA,Nike,10,5,0
Hannah,Wilson,food_out,469.4978240833075,F,TX,Amazon,21,3,0
Diana,Taylor,health_fitness,344.5855723454766,M,IL,Walmart,18,1,0
Diana,Moore,gas_transport,995.5671825891665,F,WA,Amazon,11,2,0
Edward,Doe,health_fitness,628.3753958499784,M,WA,Starbucks,5,6,0
John,Miller,grocery_pos,1381.225524629484,M,AZ,HighEndClub,16,5,0
Jane,Moore,food_out,1518.0270254076765,F,AZ,HighEndClub,23,3,0
Fiona,Anderson,grocery_pos,445.23970544989174,M,MA,Amazon,23,2,0
Bob,Anderson,grocery_pos,1749.6413903477858,F,MA,SuperStore,14,6,0
Hannah,Thomas,food_out,1154.0125311483175,F,NV,Starbucks,10,3,0
Jane,Smith,entertainment,1639.9717188012648,F,AZ,HighEndClub,7,2,0
Edward,Anderson,shopping_net,839.6914215520204,F,FL,Walmart,10,3,0
Jane,Doe,food_out,77.73336342913056,F,NJ,HighEndClub,23,6,0
Edward,Johnson,health_fitness,1770.7342806454487,F,MA,Starbucks,18,1,0
George,Taylor,food_out,348.0114467197651,F,FL,Nike,11,4,0
Fiona,Smith,gas_transport,1181.128225011455,M,MA,Nike,10,0,0
Jane,Thomas,entertainment,767.5772708936657,F,NJ,HighEndClub,8,2,0
Edward,Miller,gas_transport,1551.1943221637534,M,NV,SuperStore,4,0,0
Edward,Miller,grocery_pos,758.462169287386,F,AZ,Apple,13,4,0
Hannah,Brown,gas_transport,518.8398042917855,F,FL,GasStation,2,1,0
Edward,Taylor,shopping_net,260.46123003570085,F,NV,SuperStore,12,1,0
Hannah,Doe,food_out,705.7087137378066,F,CA,SuperStore,3,5,0
George,Taylor,shopping_net,1567.8574870633686,F,TX,Apple,11,6,0
Fiona,Taylor,grocery_pos,1780.0362476809335,M,MA,Apple,16,1,0
Bob,Thomas,entertainment,578.1685737839612,F,FL,Walmart,3,6,0
John,Thomas,gas_transport,1813.6878397339342,M,AZ,Walmart,2,2,0
Edward,Miller,grocery_pos,818.5103687616829,M,IL,SuperStore,2,6,0
John,Doe,health_fitness,254.2042062175741,M,WA,Apple,19,0,0
Bob,Thomas,health_fitness,1281.4017002091307,M,NJ,HighEndClub,10,4,0
Hannah,Taylor,grocery_pos,1849.9384526921776,F,CA,Walmart,21,4,0
Hannah,Taylor,health_fitness,813.0774129182918,F,NV,Nike,15,5,0
George,Miller,shopping_net,181.84188755502865,M,NY,HighEndClub,4,2,0
George,Smith,grocery_pos,519.6011274041975,F,WA,Walmart,8,1,1
Bob,Doe,food_out,1543.438457027899,F,CA,HighEndClub,3,4,0
George,Smith,health_fitness,1309.7644597632818,F,CA,SuperStore,19,6,0
John,Taylor,shopping_net,1967.9854779353607,F,IL,Nike,22,1,0
Jane,Taylor,grocery_pos,506.86077430706445,F,NV,Starbucks,0,0,0
George,Thomas,grocery_pos,436.04774602381667,M,MA,Walmart,17,0,0
Bob,Wilson,grocery_pos,791.3389653654014,F,WA,Nike,9,6,0
Bob,Brown,gas_transport,163.17531497096917,M,CA,Walmart,0,3,0
Jane,Taylor,entertainment,321.4567701540793,F,NY,Walmart,5,3,0
Bob,Johnson,grocery_pos,1419.2274223005086,M,IL,HighEndClub,3,3,0
Alice,Johnson,entertainment,901.7863933044132,F,TX,GasStation,11,5,0
Charlie,Johnson,food_out,1347.0551743588348,F,NV,Walmart,22,1,0
Bob,Johnson,grocery_pos,415.33590535252625,M,FL,HighEndClub,5,6,0
John,Taylor,health_fitness,332.6157951211513,M,NY,Apple,10,0,0
Charlie,Thomas,gas_transport,58.50711900991568,F,AZ,Amazon,3,2,0
Jane,Johnson,food_out,181.45951390346326,F,NY,Amazon,0,1,0
John,Taylor,grocery_pos,1248.4976293284085,M,NJ,Walmart,6,5,0
Fiona,Doe,health_fitness,1981.630502208375,M,AZ,Apple,17,6,0
Diana,Smith,shopping_net,758.3194793060244,M,TX,GasStation,1,6,0
Charlie,Wilson,grocery_pos,851.2982223936046,F,TX,SuperStore,0,6,0
Charlie,Moore,entertainment,503.6074067125412,F,AZ,Starbucks,21,2,0
Bob,Anderson,entertainment,1152.6509345244467,F,IL,GasStation,3,6,0
Alice,Doe,grocery_pos,1981.9206222934886,F,NV,Amazon,20,1,0
George,Miller,entertainment,162.8857963236295,M,TX,Starbucks,11,5,0
Bob,Thomas,food_out,1121.936204910133,F,TX,Walmart,18,1,0
Fiona,Smith,food_out,1646.2529548938262,F,AZ,HighEndClub,14,6,0
Hannah,Smith,shopping_net,493.3724895285247,M,NJ,GasStation,12,5,0
Jane,Taylor,shopping_net,747.5918048094853,M,IL,Starbucks,16,0,0
George,Brown,health_fitness,1495.745393807821,M,NJ,Nike,5,4,0
Charlie,Wilson,food_out,1856.8483310835986,M,MA,Walmart,8,6,0
Charlie,Brown,food_out,1630.763148741595,M,NJ,Walmart,7,3,0
George,Thomas,gas_transport,105.57001501185583,M,MA,GasStation,7,3,0
Hannah,Johnson,food_out,83.28439618386378,F,AZ,Amazon,1,5,0
John,Taylor,gas_transport,262.3137746868796,F,WA,GasStation,0,1,0
Alice,Wilson,health_fitness,740.9135740505076,M,NY,Amazon,11,5,0
John,Johnson,grocery_pos,540.4860647714654,F,NJ,Amazon,15,5,0
Fiona,Thomas,gas_transport,186.27734748879826,M,TX,Nike,19,6,0
Hannah,Moore,gas_transport,128.59970349216354,M,CA,Amazon,5,4,0
John,Johnson,grocery_pos,380.49071014336124,F,IL,Apple,16,0,0
Diana,Wilson,grocery_pos,1641.8424852034545,F,NY,GasStation,7,4,0
Jane,Johnson,grocery_pos,1988.7067669094413,F,TX,SuperStore,23,3,0
Charlie,Doe,grocery_pos,883.1348909265207,M,WA,GasStation,19,0,0
Fiona,Smith,health_fitness,1341.3115862120073,M,NV,HighEndClub,18,6,0
Diana,Johnson,shopping_net,306.6991240900556,M,TX,HighEndClub,2,5,0
Bob,Anderson,grocery_pos,1283.9659484063247,F,NY,Nike,22,6,0
Bob,Moore,shopping_net,1037.8787949418108,F,IL,SuperStore,11,4,0
Diana,Brown,health_fitness,126.54915580475547,M,CA,HighEndClub,18,0,0
Bob,Taylor,entertainment,200.4822007131214,F,MA,Amazon,22,2,0
Fiona,Taylor,gas_transport,1531.8258401888618,F,NV,Amazon,4,3,0
George,Moore,health_fitness,1297.4272448182248,M,FL,HighEndClub,9,2,0
Alice,Moore,health_fitness,1342.0525152422872,M,TX,Walmart,19,4,0
George,Johnson,shopping_net,295.734533665568,M,AZ,Nike,22,5,0
John,Moore,grocery_pos,903.707174956755,F,IL,Walmart,1,2,1
Diana,Wilson,gas_transport,18.778578581654006,M,AZ,Apple,9,2,0
Fiona,Thomas,entertainment,1773.918386412299,F,NY,Amazon,10,6,0
Diana,Smith,food_out,971.6816565878297,M,CA,Starbucks,12,1,0
Jane,Wilson,health_fitness,575.5363809217819,F,CA,GasStation,10,1,0
Edward,Moore,health_fitness,584.2257924279138,F,FL,Walmart,7,0,0
Diana,Anderson,food_out,708.4795352107521,F,TX,Walmart,10,0,0
Hannah,Thomas,grocery_pos,724.2752122237316,F,WA,Nike,23,1,0
Bob,Smith,gas_transport,1018.1247914182661,M,NY,Amazon,4,6,0
Diana,Taylor,gas_transport,789.5331714794124,F,NJ,Walmart,6,3,0
Jane,Smith,gas_transport,697.3475428027483,M,NJ,Amazon,4,2,0
George,Smith,gas_transport,1750.5580542755222,M,CA,HighEndClub,15,5,0
George,Wilson,health_fitness,168.15554019244118,F,IL,SuperStore,8,1,0
Fiona,Johnson,entertainment,624.059047360512,F,MA,Walmart,14,6,0
Jane,Wilson,entertainment,1823.5326498164657,F,MA,Amazon,18,1,0
Fiona,Smith,gas_transport,1496.931861826605,F,NV,SuperStore,0,4,0
George,Doe,entertainment,335.1793025496458,M,IL,Apple,19,5,0
Bob,Anderson,grocery_pos,490.7418180237285,M,AZ,Apple,21,3,0
Jane,Moore,shopping_net,1228.7489734471599,M,TX,Apple,18,1,0
Alice,Miller,entertainment,342.0990160731799,M,NJ,Starbucks,20,0,1
Charlie,Wilson,health_fitness,626.1945521806491,F,FL,Starbucks,4,0,0
Jane,Miller,health_fitness,39.00728410209425,M,AZ,Amazon,17,4,0
Bob,Brown,health_fitness,571.2959673028421,F,TX,Walmart,23,1,0
Edward,Wilson,grocery_pos,389.99650663370693,F,FL,Starbucks,6,6,0
Jane,Smith,grocery_pos,1186.9780245102522,F,MA,HighEndClub,4,0,0
Bob,Brown,shopping_net,1783.6909518503244,F,IL,SuperStore,14,3,0
Fiona,Johnson,shopping_net,759.5593685784916,F,CA,Apple,10,3,0
Fiona,Miller,food_out,1343.432668536453,F,NY,Nike,0,2,0
Bob,Moore,food_out,1967.1878243499002,M,WA,SuperStore,2,6,0
Hannah,Moore,food_out,447.6264676532526,F,TX,GasStation,8,5,0
Diana,Miller,food_out,1417.4328361200448,M,NY,Amazon,15,5,0
Jane,Smith,gas_transport,1603.886438238151,M,TX,Walmart,7,5,0
John,Brown,gas_transport,1470.8531708812664,F,IL,Amazon,6,5,0
Edward,Doe,health_fitness,1077.053816122897,M,WA,HighEndClub,19,3,0
George,Johnson,health_fitness,117.44303192278458,F,NY,Apple,2,5,0
Jane,Miller,grocery_pos,1211.0799873809885,M,CA,Walmart,16,2,0
Fiona,Taylor,entertainment,1653.0546926389334,M,AZ,HighEndClub,2,2,0
Diana,Wilson,food_out,370.77328745996937,F,IL,Starbucks,14,5,0
Alice,Moore,health_fitness,165.91036305340734,M,MA,HighEndClub,17,2,0
John,Wilson,food_out,1939.4997244390377,M,NV,Starbucks,15,6,0
George,Moore,shopping_net,300.7837711128476,M,NJ,GasStation,8,0,0
Alice,Thomas,food_out,1133.1836614264012,M,FL,GasStation,19,5,0
Fiona,Doe,food_out,1660.2133514283034,M,NY,HighEndClub,21,6,0
John,Moore,grocery_pos,1087.62159156584,F,TX,Starbucks,14,4,0
Alice,Doe,gas_transport,582.4668662966402,F,NJ,SuperStore,18,0,0
Fiona,Thomas,food_out,1841.0819166836504,F,IL,Starbucks,14,4,0
Diana,Brown,health_fitness,1777.2772371297408,F,NY,SuperStore,5,6,0
John,Doe,entertainment,688.0416018224502,M,CA,Amazon,22,2,0
Jane,Doe,health_fitness,1331.8273036143744,M,NJ,Starbucks,16,2,0
Hannah,Miller,health_fitness,443.86647582733656,F,CA,Walmart,11,0,0
Hannah,Thomas,shopping_net,141.56489296143093,M,CA,HighEndClub,18,4,0
Hannah,Doe,entertainment,787.5818631068664,F,CA,Nike,2,4,0
Charlie,Smith,food_out,1794.036040318559,M,MA,SuperStore,2,0,0
Charlie,Johnson,health_fitness,1585.833240030242,M,NJ,Nike,14,0,0
Fiona,Wilson,gas_transport,40.83185879255666,M,NY,Starbucks,5,0,0
Diana,Wilson,shopping_net,990.8620622106998,F,NJ,Nike,8,1,0
Diana,Thomas,grocery_pos,1781.3999698757973,M,IL,Walmart,12,2,0
Diana,Taylor,health_fitness,948.7024523066674,F,NV,HighEndClub,12,3,0
Diana,Wilson,grocery_pos,732.4789501484561,F,NV,Walmart,15,2,0
Jane,Moore,food_out,747.2171882197621,M,AZ,Nike,22,0,0
Charlie,Miller,food_out,1547.3296614696926,F,CA,Walmart,5,2,0
Jane,Thomas,entertainment,1551.160368941869,M,AZ,Amazon,8,2,0
Fiona,Doe,grocery_pos,699.082853203999,M,MA,SuperStore,22,2,0
Jane,Wilson,grocery_pos,1661.5437089443512,M,NV,Walmart,23,3,0
Charlie,Brown,entertainment,42.693600196701624,F,NY,Walmart,3,2,0
Bob,Anderson,shopping_net,264.91225741435045,F,IL,HighEndClub,16,6,0
Fiona,Taylor,entertainment,518.3442064351434,M,MA,Nike,23,6,0
John,Miller,food_out,1623.2272981975832,M,CA,Walmart,21,0,0
Jane,Wilson,entertainment,444.1382655045527,F,IL,HighEndClub,14,1,0
Charlie,Miller,grocery_pos,1682.4955401085376,F,IL,Nike,12,2,0
Hannah,Brown,shopping_net,290.5795631703,M,NV,Walmart,6,0,0
Charlie,Smith,shopping_net,1478.4350638101641,M,FL,GasStation,17,0,0
Diana,Smith,shopping_net,1042.0613409190544,M,IL,Walmart,8,6,0
Diana,Anderson,grocery_pos,1072.4669010243042,F,FL,HighEndClub,22,1,0
Fiona,Wilson,food_out,450.2839171563724,M,AZ,HighEndClub,6,1,0
Diana,Moore,gas_transport,1965.898809623416,M,FL,Nike,7,3,0
Diana,Wilson,food_out,618.3914056871996,M,TX,Starbucks,2,6,0
Hannah,Brown,grocery_pos,1860.8237441347935,M,WA,Amazon,19,2,0
Diana,Moore,entertainment,34.519489996619384,M,CA,Starbucks,1,4,0
Alice,Brown,food_out,673.384707890959,F,AZ,Apple,19,4,0
Hannah,Thomas,gas_transport,1596.5792677469321,M,CA,Starbucks,21,1,0
Bob,Doe,gas_transport,1614.9521677186126,M,TX,HighEndClub,17,6,0
Hannah,Doe,grocery_pos,1899.8908906876206,M,NV,GasStation,10,1,0
John,Wilson,health_fitness,921.2043585028972,M,NV,Starbucks,17,5,1
Edward,Doe,food_out,1756.3100974705878,F,MA,SuperStore,14,3,0
Alice,Smith,gas_transport,767.4340213100925,F,NY,SuperStore,16,5,0
Jane,Johnson,shopping_net,1531.7578602876981,F,WA,Apple,11,4,0
Edward,Wilson,food_out,1533.3721429133623,F,FL,Starbucks,13,5,0
John,Anderson,health_fitness,1988.580765631804,F,IL,GasStation,20,4,0
Bob,Johnson,shopping_net,345.1653924601919,F,TX,Nike,8,4,0
George,Johnson,entertainment,1556.705196136612,F,AZ,Starbucks,13,5,0
Diana,Johnson,shopping_net,1947.133774884506,M,NV,SuperStore,23,2,0
George,Johnson,entertainment,426.6732419722291,M,MA,SuperStore,3,3,0
Diana,Brown,health_fitness,1109.964482352395,M,NJ,Starbucks,17,1,1
Alice,Anderson,entertainment,317.8355546918888,M,FL,Walmart,20,4,0
Bob,Thomas,food_out,1306.3717446040644,F,CA,Walmart,16,1,0
George,Thomas,grocery_pos,1159.139373380193,M,NJ,HighEndClub,9,1,0
Alice,Moore,grocery_pos,1539.5842092609887,F,IL,Starbucks,17,3,1
Fiona,Taylor,health_fitness,1168.7616936915879,F,MA,Starbucks,4,3,0
Edward,Taylor,grocery_pos,403.486289508854,M,WA,Nike,20,1,0
Hannah,Doe,grocery_pos,1681.7549282466373,F,TX,HighEndClub,6,3,0
Bob,Thomas,food_out,462.4062499325326,M,NY,GasStation,15,6,0
Hannah,Miller,grocery_pos,1976.7079225216926,M,TX,HighEndClub,8,2,0
Edward,Wilson,entertainment,1229.832944510076,M,WA,Nike,9,6,0
Charlie,Doe,health_fitness,1639.4238236391445,F,FL,GasStation,6,5,0
Charlie,Miller,health_fitness,1013.9380922854168,F,AZ,HighEndClub,12,1,0
Alice,Taylor,entertainment,1757.650535810078,F,TX,Amazon,23,0,0
Jane,Johnson,entertainment,1481.0919352281235,M,IL,Walmart,1,0,0
Edward,Thomas,food_out,649.9433540160938,F,MA,Starbucks,5,5,0
George,Moore,shopping_net,963.4291214899313,F,NV,Apple,11,4,0
John,Thomas,grocery_pos,669.3604392760436,M,MA,SuperStore,13,4,0
Edward,Brown,grocery_pos,824.9007396707475,F,CA,Starbucks,14,5,0
Diana,Smith,shopping_net,571.7571263995346,M,WA,Nike,17,6,0
Charlie,Smith,entertainment,1988.2825270781123,F,NJ,Amazon,16,4,0
Jane,Thomas,gas_transport,1044.7455143270863,F,NJ,Nike,13,6,0
Jane,Johnson,health_fitness,821.2045077869967,F,NV,Starbucks,13,3,0
Charlie,Moore,grocery_pos,261.72189968030483,M,CA,SuperStore,11,4,0
Bob,Wilson,gas_transport,1660.014171282686,F,AZ,Amazon,19,3,0
Edward,Smith,health_fitness,104.5004573995307,F,NY,Nike,3,1,0
Charlie,Moore,food_out,915.2683527061853,M,AZ,Amazon,22,5,0
Hannah,Taylor,health_fitness,36.28643954641586,F,NV,GasStation,11,6,0
Bob,Smith,shopping_net,1092.2456927039766,M,WA,Nike,5,5,0
Bob,Wilson,shopping_net,993.5124012655568,M,IL,GasStation,20,4,0
Edward,Anderson,health_fitness,587.3534491221124,F,NY,Walmart,12,0,0
Charlie,Taylor,entertainment,683.739130949936,F,CA,Starbucks,21,6,0
Bob,Johnson,entertainment,417.88627784728584,F,CA,HighEndClub,21,5,0
Charlie,Anderson,shopping_net,1427.3777445746564,M,MA,GasStation,17,1,0
Jane,Thomas,shopping_net,1049.0560904915017,F,NY,Walmart,18,5,0
John,Thomas,shopping_net,634.7687091536143,M,NY,Apple,16,5,0
Edward,Moore,health_fitness,39.783212969300926,F,NV,Amazon,22,6,0
George,Smith,entertainment,1840.605352019208,M,IL,SuperStore,9,1,0
Charlie,Anderson,gas_transport,194.29641267234425,M,CA,Starbucks,10,4,0
Alice,Smith,entertainment,311.49189717984297,M,MA,Nike,17,6,0
Bob,Taylor,gas_transport,994.5946580063564,M,NY,GasStation,4,4,0
Jane,Moore,gas_transport,1174.50204170139,M,NY,Walmart,16,0,0
Edward,Miller,health_fitness,1293.5238521369608,F,FL,Nike,12,3,0
Edward,Taylor,health_fitness,161.6564651156605,F,NV,GasStation,15,2,0
Edward,Wilson,gas_transport,113.41825249944158,M,IL,Walmart,17,5,0
Bob,Miller,grocery_pos,1313.1013347514258,F,NJ,GasStation,16,0,0
Alice,Taylor,shopping_net,12.226706526947876,F,NV,HighEndClub,2,0,0
John,Moore,food_out,1879.6895464662139,M,MA,SuperStore,16,1,0
John,Wilson,shopping_net,1739.8764355533167,M,AZ,HighEndClub,1,0,0
Fiona,Doe,entertainment,1719.1887665765516,M,TX,GasStation,21,1,0
Alice,Smith,grocery_pos,705.7007603825165,M,FL,Starbucks,18,3,0
Charlie,Miller,grocery_pos,634.8939582381436,M,WA,Walmart,3,4,0
Charlie,Doe,grocery_pos,340.703449499412,M,AZ,Nike,10,2,0
Charlie,Thomas,health_fitness,1391.537969995932,F,AZ,GasStation,15,3,0
Diana,Anderson,gas_transport,251.39408265575014,F,MA,SuperStore,16,6,0
John,Wilson,shopping_net,1074.659285129226,F,MA,SuperStore,9,0,0
Fiona,Smith,gas_transport,593.5499281921765,M,MA,HighEndClub,9,5,0
Jane,Doe,health_fitness,417.75603915099504,M,CA,SuperStore,3,5,0
John,Taylor,gas_transport,1158.3324255798152,F,WA,Walmart,1,2,0
Edward,Anderson,gas_transport,916.7602334124363,F,TX,Apple,4,1,0
George,Johnson,health_fitness,804.3047328135043,M,NY,HighEndClub,9,2,0
Edward,Anderson,gas_transport,1285.421775190598,M,IL,Starbucks,20,0,0
Hannah,Taylor,gas_transport,1657.6982231137217,F,NV,HighEndClub,6,6,0
George,Thomas,health_fitness,141.7718719723623,M,AZ,Walmart,20,6,0
Fiona,Anderson,health_fitness,1190.596081154377,F,AZ,Nike,8,4,0
Hannah,Johnson,shopping_net,1700.041785407664,F,NJ,Nike,12,2,0
Jane,Miller,entertainment,1602.014774016429,M,NV,Nike,17,6,0
Fiona,Anderson,grocery_pos,1421.0450169867129,M,CA,Walmart,2,4,0
Bob,Taylor,food_out,383.96491554019036,M,NV,HighEndClub,11,4,0
John,Thomas,food_out,504.6004958222876,F,NJ,SuperStore,16,1,0
Alice,Doe,gas_transport,705.0337412317525,F,AZ,Amazon,13,5,0
Alice,Anderson,food_out,874.1591540259375,F,IL,Starbucks,14,5,0
George,Anderson,entertainment,1845.047587844585,F,AZ,Apple,5,1,0
Jane,Brown,shopping_net,1868.6067349323416,M,NJ,Nike,19,5,0
Bob,Miller,health_fitness,263.00357678879703,M,MA,GasStation,18,1,0
Fiona,Miller,food_out,1976.681844956335,M,CA,SuperStore,20,5,0
Jane,Doe,food_out,348.4160119930351,M,FL,Amazon,2,1,0
Hannah,Brown,grocery_pos,148.79647627213228,F,IL,SuperStore,6,4,0
Edward,Brown,shopping_net,1426.957345347623,M,MA,GasStation,4,1,0
Diana,Taylor,health_fitness,383.84378811360216,M,FL,Apple,23,6,0
Bob,Moore,entertainment,713.8012347738846,F,AZ,HighEndClub,14,3,0
Diana,Smith,gas_transport,165.66756404304257,M,CA,Apple,15,5,0
Charlie,Anderson,food_out,1387.4344091218713,F,NY,Apple,15,4,0
Alice,Thomas,health_fitness,1714.7308323688076,M,NV,SuperStore,18,1,0
Alice,Doe,entertainment,62.588765415271936,F,TX,Starbucks,4,3,0
John,Thomas,health_fitness,778.3319393780262,M,MA,HighEndClub,5,0,0
John,Smith,health_fitness,1987.4268467262004,F,MA,GasStation,6,4,0
Bob,Smith,food_out,1123.7909561547087,M,NJ,HighEndClub,17,2,0
Alice,Miller,shopping_net,404.9515313055481,M,AZ,Nike,18,3,0
Hannah,Smith,shopping_net,149.4842572002934,M,CA,HighEndClub,18,5,0
Hannah,Moore,health_fitness,101.51535785587775,M,NY,Amazon,10,4,0
Alice,Miller,entertainment,1252.4218812393551,F,NV,Starbucks,1,2,0
Jane,Smith,health_fitness,105.909564758207,M,FL,Walmart,1,3,0
Edward,Brown,health_fitness,1652.822024557669,F,AZ,Apple,7,3,0
Fiona,Thomas,entertainment,1672.9171702572758,M,NJ,Starbucks,22,5,0
Diana,Wilson,gas_transport,1030.7431220560436,F,NY,Amazon,3,3,0
George,Taylor,grocery_pos,1214.507593239945,M,NV,Starbucks,0,0,0
John,Anderson,entertainment,996.4598454358529,M,TX,Walmart,17,2,0
Hannah,Miller,shopping_net,1617.4337259923805,F,FL,SuperStore,18,3,0
Hannah,Thomas,health_fitness,677.7095316451835,F,CA,Amazon,11,1,0
